sep=;
Seleção;Grupo;Status_Qualificação;Confederação;Ranking_FIFA_Nov_2025;Pontuacao_Ranking_FIFA;Participações_Copa_Mundo;Melhor_Resultado_Copa_Mundo;Link_Bandeira
Canadá;B;Classificado (Sede);CONCACAF;45;1559,15;3;Fase de Grupos;https://flagcdn.com/w320/ca.png
Estados Unidos;D;Classificado (Sede);CONCACAF;11;1681,88;12;3º Lugar (1930);https://flagcdn.com/w320/us.png
México;A;Classificado (Sede);CONCACAF;12;1675,75;18;Quartas de Final (1970, 1986);https://flagcdn.com/w320/mx.png
Austrália;D;Classificado;AFC;27;1574,01;6;Oitavas de Final (2006,  2022);https://flagcdn.com/w320/au.png
Arábia Saudita;H;Classificado;AFC;57;1428,74;6;Oitavas de Final (1994);https://flagcdn.com/w320/sa.png
Catar;B;Classificado;AFC;61;1461,60;1;Fase de Grupos;https://flagcdn.com/w320/qa.png
Coreia do Sul;A;Classificado;AFC;24;1599,45;11;4º Lugar (2002);https://flagcdn.com/w320/kr.png
Irã;G;Classificado;AFC;21;1617,02;6;Fase de Grupos;https://flagcdn.com/w320/ir.png
Japão;F;Classificado;AFC;18;1650,12;7;Oitavas de Final (2002, 2010, 2018, 2022);https://flagcdn.com/w320/jp.png
Jordânia;J;Classificado;AFC;82;1377,64;0;Estreante;https://flagcdn.com/w320/jo.png
Uzbequistão;K;Classificado;AFC;73;1462,03;0;Estreante;https://flagcdn.com/w320/uz.png
África do Sul;A;Classificado;CAF;64;1426,73;3;Fase de Grupos;https://flagcdn.com/w320/za.png
Argélia;J;Classificado;CAF;33;1516,37;4;Oitavas de Final (2014);https://flagcdn.com/w320/dz.png
Cabo Verde;H;Classificado;CAF;74;1367,95;0;Estreante;https://flagcdn.com/w320/cv.png
Costa do Marfim;E;Classificado;CAF;52;1489,59;3;Fase de Grupos;https://flagcdn.com/w320/ci.png
Egito;G;Classificado;CAF;35;1520,68;3;Fase de Grupos;https://flagcdn.com/w320/eg.png
Gana;L;Classificado;CAF;60;1351,09;4;Quartas de Final (2010);https://flagcdn.com/w320/gh.png
Marrocos;C;Classificado;CAF;13;1713,12;6;4º Lugar (2022);https://flagcdn.com/w320/ma.png
Senegal;I;Classificado;CAF;20;1648,07;3;Quartas de Final (2002);https://flagcdn.com/w320/sn.png
Tunísia;F;Classificado;CAF;32;1497,13;6;Fase de Grupos;https://flagcdn.com/w320/tn.png
Curaçau;E;Classificado;CONCACAF;89;1302,70;0;Estreante;https://flagcdn.com/w320/cw.png
Haiti;C;Classificado;CONCACAF;88;1294,49;1;Fase de Grupos;https://flagcdn.com/w320/ht.png
Panamá;L;Classificado;CONCACAF;44;1540,43;1;Fase de Grupos;https://flagcdn.com/w320/pa.png
Argentina;J;Classificado;CONMEBOL;2;1873,33;18;Campeão (1978, 1986, 2022);https://flagcdn.com/w320/ar.png
Brasil;C;Classificado;CONMEBOL;5;1760,46;22;Campeão (1958, 1962, 1970, 1994, 2002);https://flagcdn.com/w320/br.png
Colômbia;K;Classificado;CONMEBOL;17;1701,30;6;Quartas de Final (2014);https://flagcdn.com/w320/co.png
Equador;E;Classificado;CONMEBOL;36;1591,73;4;Oitavas de Final (2006);https://flagcdn.com/w320/ec.png
Paraguai;D;Classificado;CONMEBOL;53;1501,50;8;Quartas de Final (2010);https://flagcdn.com/w320/py.png
Uruguai;H;Classificado;CONMEBOL;15;1672,62;14;Campeão (1930, 1950);https://flagcdn.com/w320/uy.png
Nova Zelândia;G;Classificado;OFC;103;1279,25;2;Fase de Grupos;https://flagcdn.com/w320/nz.png
Alemanha;E;Classificado;UEFA;16;1724,15;20;Campeão (1954, 1974, 1990, 2014);https://flagcdn.com/w320/de.png
Áustria;J;Classificado;UEFA;25;1585,51;7;3º Lugar (1954);https://flagcdn.com/w320/at.png
Bélgica;G;Classificado;UEFA;8;1730,71;14;3º Lugar (2018);https://flagcdn.com/w320/be.png
Croácia;L;Classificado;UEFA;10;1716,88;6;2º Lugar (2018);https://flagcdn.com/w320/hr.png
Escócia;C;Classificado;UEFA;34;1506,77;8;Fase de Grupos;https://flagcdn.com/w320/gb-sct.png
Espanha;H;Classificado;UEFA;1;1877,18;16;Campeão (2010);https://flagcdn.com/w320/es.png
França;I;Classificado;UEFA;3;1870,00;16;Campeão (1998, 2018);https://flagcdn.com/w320/fr.png
Holanda;F;Classificado;UEFA;7;1756,27;11;2º Lugar (1974, 1978, 2010);https://flagcdn.com/w320/nl.png
Inglaterra;L;Classificado;UEFA;4;1834,12;16;Campeão (1966);https://flagcdn.com/w320/gb-eng.png
Noruega;I;Classificado;UEFA;42;1553,14;3;Oitavas de Final (1998);https://flagcdn.com/w320/no.png
Portugal;K;Classificado;UEFA;6;1760,38;8;3º Lugar (1966);https://flagcdn.com/w320/pt.png
Suíça;B;Classificado;UEFA;14;1654,69;12;Quartas de Final (1934, 1938, 1954);https://flagcdn.com/w320/ch.png
Vaga UEFA 1;B;A Definir (Eliminatórias UEFA);UEFA;N/A;N/A;N/A;N/A;https://flagcdn.com/w320/eu.png
Vaga UEFA 2;F;A Definir (Eliminatórias UEFA);UEFA;N/A;N/A;N/A;N/A;https://flagcdn.com/w320/eu.png
Vaga UEFA 3;D;A Definir (Eliminatórias UEFA);UEFA;N/A;N/A;N/A;N/A;https://flagcdn.com/w320/eu.png
Vaga UEFA 4;A;A Definir (Eliminatórias UEFA);UEFA;N/A;N/A;N/A;N/A;https://flagcdn.com/w320/eu.png
Vaga Repescagem 1;K;A Definir (Repescagem Intercontinental);Múltipla;N/A;N/A;N/A;N/A;https://flagcdn.com/w320/un.png
Vaga Repescagem 2;I;A Definir (Repescagem Intercontinental);Múltipla;N/A;N/A;N/A;N/A;https://flagcdn.com/w320/un.png